translation_x,translation_y,translation_z
-0.7619888023817945,0.6202789601802401,0.003283
-0.7804341362945411,0.6185583316979955,0.003042
-0.7967820949460953,0.6167624382529819,0.002859
-0.8120888901425598,0.6149104046802343,0.002732
-0.8254273699644834,0.6128046138315639,0.002657
-0.8379291635140254,0.6096894988085353,0.002632
-0.8514543459505624,0.6080037209007347,0.002652
-0.863536777558549,0.6053120271150192,0.002715
-0.8751451231800935,0.6025691252547034,0.002818
-0.8856076577554162,0.600069434264018,0.002956
-0.8948954382853578,0.5974743169701586,0.003128
-0.9025353925084034,0.5939426108285648,0.003329
-0.91080403771995,0.5897229736357179,0.003557
-0.9182995185191785,0.5858779448841922,0.003807
-0.9250515929466046,0.5827567258138107,0.004078
-0.9327818914621546,0.57878460467869,0.004366
-0.9404201377122527,0.5748396437505718,0.004666
-0.9468040273575915,0.5694937149218653,0.004977
-0.9523645581122229,0.5663879910305347,0.005295
-0.9603530198654013,0.5612954665839673,0.005617
-0.9665097618701433,0.5575293100849876,0.005939
-0.9723738983722283,0.5530525828583492,0.006258
-0.9796815928429479,0.5493888522800301,0.006571
-0.986774329745018,0.5446651033853644,0.006875
-0.9932645992194753,0.5408648813925101,0.007166
-0.9993045086562593,0.5361345840493943,0.007441
-1.0058448337536294,0.5317341851624011,0.007494
-1.0105837141664145,0.5283381205187769,0.007565
-1.0171974285487555,0.5239215856813964,0.00765
-1.023562912588138,0.5203735109566416,0.00775
-1.0288153159300881,0.5165020478892721,0.007821
-1.0334478306179213,0.5132683371655506,0.007869
-1.0385658949351302,0.5083727019036104,0.007896
-1.0445737908524952,0.5043799566054012,0.007895
-1.050632114357735,0.49887664161178513,0.007867
-1.056216600788558,0.49408411193745216,0.007815
-1.0614457952050764,0.4904202812016969,0.00774
-1.0680731367001672,0.4848688266915495,0.007606
-1.0743395463612333,0.4815202480181249,0.007405
-1.0788294259911755,0.4760962134156248,0.007135
-1.0851897065231029,0.472217341841322,0.006789
-1.090435185402944,0.46753647269579446,0.006361
-1.0951620055755305,0.4636685894860264,0.0059
-1.0997253038359198,0.45952209312529213,0.005411
-1.105278486236653,0.456255938188745,0.004897
-1.1093961634462275,0.4494990155634735,0.004401
-1.1148364947929976,0.44452244687213316,0.003922
-1.1192611801382997,0.44009947651872494,0.003455
-1.1244509370508657,0.4361408991244744,0.002963
-1.1301806165557085,0.4321742570438829,0.002451
-1.1346383257486101,0.4288259685006608,0.001925
-1.140708565558135,0.4251980205296366,0.001401
-1.1459626458291834,0.4217472322191629,0.000881
-1.1512586516313443,0.4170381109262635,0.000372
-1.1557071312160105,0.4132260108155954,-0.000122
-1.160328120187895,0.40795511901239756,-0.000596
-1.165269271971706,0.4054337823808929,-0.001045
-1.1689903790374934,0.4018675543102379,-0.001531
-1.174266160067059,0.3986380666583269,-0.002051
-1.179367704551856,0.3948841840111932,-0.002603
-1.1845998097501793,0.39114074592094283,-0.003112
-1.1907608606324098,0.3886037897145247,-0.003585
-1.1952156776668796,0.38608368727018316,-0.004025
-1.2021663439273302,0.38348443296543167,-0.004464
-1.2064231245360015,0.37914584098082216,-0.004901
-1.2123959917372615,0.37462606638851526,-0.005333
-1.2182216333342093,0.37099844199691034,-0.00573
-1.2238190531763071,0.3684542901832071,-0.006104
