translation_x,translation_y,frame_numbers
7.40606295602821e-10,-2.52145710119162e-10,frame_000000
-0.0073929141498766,-0.0167766798450729,frame_000004
-0.0147858292257154,-0.0307696497446026,frame_000008
-0.0221787444885616,-0.0419541028624421,frame_000012
-0.0295716598605215,-0.053138555879968,frame_000016
-0.0369645754225564,-0.0615641062772754,frame_000020
-0.0443574911792941,-0.0671563327895381,frame_000024
-0.04442308115754,-0.0727485594337485,frame_000028
-0.0444230813129326,-0.0783407862122883,frame_000032
-0.0444230815204307,-0.0839330131300169,frame_000036
-0.0444230814166275,-0.0784896287943747,frame_000040
-0.0480047568127368,-0.075606690672641,frame_000044
-0.0553976722645614,-0.0756066909447719,frame_000048
-0.0482671161959757,-0.0810996896433243,frame_000052
-0.0302275592435448,-0.0893763976816021,frame_000056
-0.0006558976477906,-0.1005608504656955,frame_000060
0.0578315280394469,-0.1117453028252503,frame_000064
0.1310391947059807,-0.1255894289680389,frame_000068
0.2197541807726273,-0.1423661068278089,frame_000072
0.344449895911543,-0.1591427826957552,frame_000076
0.4945124938361877,-0.1785543248133831,frame_000080
0.6719424656386339,-0.2009232252777622,frame_000084
0.8995158930020644,-0.2287106983110103,frame_000088
1.1563002386036263,-0.2592818780487084,frame_000092
1.4446239429920484,-0.2928352209280894,frame_000096
1.789992094810622,-0.3317823256662074,frame_000100
2.168218430376247,-0.3760983868909276,frame_000104
2.582221699106699,-0.4264283882259954,frame_000108
3.053007048208892,-0.4821273367042951,frame_000112
3.553232884947164,-0.5431704305837567,frame_000116
4.0855228055725945,-0.6102770743139122,frame_000120
4.674332455528633,-0.6827278503127318,frame_000124
5.289230471419704,-0.7579623215602396,frame_000128
5.932414112817104,-0.8362533643650656,frame_000132
6.624822957495658,-0.91986372459554,frame_000136
7.339672911117345,-1.0062577765736662,frame_000140
8.078964465126663,-1.095733203237524,frame_000144
8.853252890367733,-1.1905031317737769,frame_000148
9.645941618891843,-1.2880567475444582,frame_000152
10.459162322696605,-1.388716539872586,frame_000156
11.30721594831516,-1.494646020371936,frame_000160
12.17041615028644,-1.598436757610385,frame_000164
13.05017310995503,-1.6990964667882962,frame_000168
13.943797654148046,-1.810245972685928,frame_000172
14.851224185893448,-1.92209005203704,frame_000176
15.775338659890368,-2.0339341039359105,frame_000180
16.713255105751216,-2.1405580029149665,frame_000184
17.655343554284098,-2.249221373599707,frame_000188
18.60163680731804,-2.361065337052186,frame_000192
19.54793005661096,-2.4729092594972566,frame_000196
20.497378654354627,-2.5847531595665187,frame_000200
21.451064836258983,-2.696597033792856,frame_000204
22.404751020337404,-2.8084408675625627,frame_000208
23.36155976677063,-2.920284680069996,frame_000212
24.322638903938675,-3.0321284680120284,frame_000216
25.28371802540948,-3.143972212354097,frame_000220
26.24788691946257,-3.253478762277853,frame_000224
27.216359008918165,-3.3597302559497435,frame_000228
28.178061321430377,-3.4711025894485243,frame_000232
29.139140513426064,-3.580633866743913,frame_000236
30.10021967713945,-3.6868852768619393,frame_000240
31.06803592944693,-3.793136652439386,frame_000244
32.03650810307676,-3.901675566712214,frame_000248
33.00498029926824,-4.01351910216124,frame_000252
33.97345242702784,-4.125362588682574,frame_000256
34.93893320475491,-4.232680557181079,frame_000260
35.90001246838463,-4.333339607182462,frame_000264
36.85442030674572,-4.4390450697222485,frame_000268
37.80810666991861,-4.545296266638615,frame_000272
38.761793052903855,-4.651547440632137,frame_000276
39.7022022395017,-4.757798593908463,frame_000280
40.63232548455702,-4.864049728241612,frame_000284
41.549047234163936,-4.970300837245888,frame_000288
42.465769139448,-5.071555101942949,frame_000292
43.37381207377089,-5.174402310032758,frame_000296
44.26835513858075,-5.280653362250748,frame_000300
45.149752288315405,-5.3819323916581805,frame_000304
46.01806891205542,-5.482591235555544,frame_000308
46.86825453776412,-5.583250061065125,frame_000312
47.69881956408084,-5.688856097485101,frame_000316
48.51268957780498,-5.792968392907706,frame_000320
49.30373186663701,-5.893627194004987,frame_000324
50.0687444363554,-5.989363597510762,frame_000328
50.81903674378839,-6.08231630573225,frame_000332
51.55093572237181,-6.171790721101456,frame_000336
52.25693610929792,-6.2563675473233245,frame_000340
52.95097805455416,-6.338160681880107,frame_000344
53.63112664623004,-6.41645072217322,frame_000348
54.27906581407211,-6.489867974715451,frame_000352
54.91679172656904,-6.560501541001268,frame_000356
55.54518989270305,-6.627607216631404,frame_000360
56.147951703285976,-6.6947128910282565,frame_000364
56.74677811685613,-6.761818560013877,frame_000368
57.345604545136496,-6.828924219903113,frame_000372
57.92530210903601,-6.891206710037747,frame_000376
58.49662288163884,-6.952720184063059,frame_000380
59.05848462183784,-7.014233654059343,frame_000384
59.607659345458,-7.080545476833055,frame_000388
60.15210459211279,-7.143671387086054,frame_000392
60.691787602500405,-7.19959267193748,frame_000396
61.21253850207659,-7.255513957063994,frame_000400
61.73004268510974,-7.311435237652834,frame_000404
62.24754685500704,-7.367356509778927,frame_000408
62.75877307481954,-7.418529025755556,frame_000412
63.27144934828021,-7.46885810666456,frame_000416
63.78895361784392,-7.519187188940193,frame_000420
64.29396763176439,-7.569516266945688,frame_000424
64.79668600631855,-7.617929898468966,frame_000428
65.2994044173872,-7.662666795651753,frame_000432
65.80212274198203,-7.712102803313491,frame_000436
66.29984217798936,-7.760541220753511,frame_000440
66.78777469372599,-7.805278106706881,frame_000444
67.26952759772587,-7.854689300704971,frame_000448
67.7500670863601,-7.901286684729499,frame_000452
68.23060661220065,-7.940431377843329,frame_000456
68.69885269888087,-7.984225588672468,frame_000460
69.1646063584801,-8.02896245706617,frame_000464
69.63036000330469,-8.073699317714182,frame_000468
70.08388582872725,-8.118436186531536,frame_000472
70.53485359666114,-8.163173047985058,frame_000476
70.98582125255719,-8.207909890575964,frame_000480
71.4307078288358,-8.252646737855157,frame_000484
71.87191435562993,-8.297383586652279,frame_000488
72.30809623508793,-8.342120436524215,frame_000492
72.73822971467143,-8.382282187922515,frame_000496
73.1646831020238,-8.423193457096064,frame_000500
73.58607900955207,-8.467930292552046,frame_000504
74.00145944671706,-8.50811685328545,frame_000508
74.41546251092957,-8.54726152663414,frame_000512
74.82946557757955,-8.586406195448838,frame_000516
75.23748578573796,-8.625550851972852,frame_000520
75.64409585630085,-8.661261538311312,frame_000524
76.05070609423012,-8.68922187742581,frame_000528
76.4513661834519,-8.72168286284901,frame_000532
76.85058332320757,-8.755235351026418,frame_000536
77.24980064440028,-8.788787856325415,frame_000540
77.64901776023669,-8.822340333983753,frame_000544
78.04823487688957,-8.857560181577288,frame_000548
78.4474521160233,-8.896704832227275,frame_000552
78.83490050205927,-8.935849474889112,frame_000556
79.22150324203552,-8.974994114905865,frame_000560
79.61332748800022,-9.014138753486716,frame_000564
80.00515166280121,-9.057709623129416,frame_000568
80.39483715037836,-9.102446413437432,frame_000572
80.77926849403721,-9.1471832133671,frame_000576
81.16369970216745,-9.187518556154677,frame_000580
81.5460250192442,-9.226663172893554,frame_000584
81.92306344716029,-9.265807805494807,frame_000588
82.29431591483566,-9.304952441217774,frame_000592
82.66396143483848,-9.345665220868725,frame_000596
83.03360696312552,-9.39040201508634,frame_000600
83.39749924744913,-9.426435159733902,frame_000604
83.75975179782873,-9.463074299469708,frame_000608
84.12200443815655,-9.50781109348114,frame_000612
84.48425707662047,-9.548220867854477,frame_000616
84.84650973788675,-9.587365495149388,frame_000620
85.20876246178493,-9.626510125581795,frame_000624
85.56532749517017,-9.665654746271416,frame_000628
85.92413659750947,-9.704799356211495,frame_000632
86.29378206119925,-9.743943944672468,frame_000636
86.69735625542918,-9.778811087075855,frame_000640
87.12301084732924,-9.813832357365996,frame_000644
87.58137143770017,-9.852976830562987,frame_000648
88.07346395974541,-9.896373842945172,frame_000652
88.59145514697349,-9.945442712978306,frame_000656
89.1533166934622,-10.00695567206374,frame_000660
89.74871340309585,-10.0726963572216,frame_000664
90.36806678303932,-10.142639974229509,frame_000668
91.02603611197064,-10.220929222212106,frame_000672
91.717343941662,-10.299218418469456,frame_000676
92.43073218748138,-10.37890207288152,frame_000680
93.17741672124458,-10.4627833281447,frame_000684
93.93514842712348,-10.546664543945756,frame_000688
94.70205100900702,-10.63328510880473,frame_000692
95.4857001483427,-10.728350564517092,frame_000696
96.27484024612606,-10.810955927557666,frame_000700
97.06588244151531,-10.889244897530991,frame_000704
97.85692444629848,-10.967533826949998,frame_000708
98.64796650010608,-11.041694191522629,frame_000712
99.43726344698902,-11.11439095423829,frame_000716
100.2209127499831,-11.18708772006015,frame_000720
100.99913689866491,-11.263888227134968,frame_000724
101.77368104746776,-11.34217713868039,frame_000728
102.5425447670278,-11.420466053235836,frame_000732
103.30601616126177,-11.502833904450348,frame_000736
104.064127964047,-11.585444507466306,frame_000740
104.81081307858382,-11.6637334226425,frame_000744
105.54677919681542,-11.750130620823777,frame_000748
106.2786787950338,-11.838358200528486,frame_000752
107.010578227025,-11.92223924950511,frame_000756
107.72649709190038,-12.006120299488405,frame_000760
108.43621771445925,-12.090001347338106,frame_000764
109.14593842703307,-12.173882386150314,frame_000768
109.85036501893138,-12.257763407107932,frame_000772
110.55269276803423,-12.340448385462322,frame_000776
111.25502075687348,-12.418737268799624,frame_000780
111.9626098606412,-12.50100581609366,frame_000784
112.67387903486762,-12.584886781964183,frame_000788
113.3909929719772,-12.66876774434275,frame_000792
114.11333530540534,-12.752648673945467,frame_000796
114.83935767623264,-12.836529582002573,frame_000800
115.57125736506406,-12.92041045912526,frame_000804
116.30315692740696,-13.00429130450882,frame_000808
117.03357369689006,-13.087050524161205,frame_000812
117.758080590506,-13.165339241673651,frame_000816
118.47742455486365,-13.251438505430354,frame_000820
119.19308839549902,-13.339814655814012,frame_000824
119.90280918811192,-13.423695456373276,frame_000828
120.60227000481164,-13.511456748924225,frame_000832
121.29720517706724,-13.600929704369424,frame_000836
121.9921403019579,-13.690402633773084,frame_000840
122.68197816708232,-13.7760198914201,frame_000844
123.36675155869656,-13.860947875402363,frame_000848
124.03950793562792,-13.950420796999158,frame_000852
124.70719974912764,-14.036062844844908,frame_000856
125.37121146109416,-14.11994361045505,frame_000860
126.02918187461844,-14.203824368447233,frame_000864
126.68212046964048,-14.28770510559905,frame_000868
127.33269780372864,-14.37258341502949,frame_000872
127.9832753191376,-14.462056272022274,frame_000876
128.62885385643395,-14.547747870891836,frame_000880
129.2707522854396,-14.631628575053057,frame_000884
129.9065438122583,-14.71550927141335,frame_000888
130.54233536061548,-14.80690282393614,frame_000892
131.1743671987576,-14.901019787219235,frame_000896
